Open,High,Low,Close,Volume,OpenInt
5.5953450354260035,5.884532637667064,5.4684123496729455,6.028260050148489,17989.71954779781,0
6.880465176854923,6.287380624793581,6.087349729496147,6.80201294719631,16268.132261006918,0
5.508882351737654,5.666110944025981,4.592560194425687,5.420151781667627,30119.637008882477,0
5.269518856168421,5.561893880947579,4.484769658608926,5.337626255787239,26409.30470967124,0
4.647691900915628,4.864714904129897,3.928801314982998,4.797293049771223,34729.860984050145,0
4.655910318056847,4.75136390149412,3.916505410449897,5.057043935576342,51370.66833859478,0
4.61897495776326,4.672315782152214,4.210580878048805,4.813778369053761,62942.67750881665,0
4.499633414594538,4.924839931596555,4.251755542147496,4.8308835931459875,56997.0629849105,0
4.5930135921393855,5.0917775178986275,4.5452067196127715,5.0119392786708445,52809.168088763836,0
4.434670704307788,4.258655174618184,4.698531268693294,4.624834654116597,44158.1727321347,0
6.420328850630501,2.636623665586061,3.132677102365676,3.2714404429178856,36198.97304072458,0
5.959590378207999,3.079883952286732,3.3724986715073193,3.2853236778544925,33081.440692521865,0
5.866296050419507,3.827804488812518,3.1792694021360646,4.013336854639661,45751.863739665714,0
6.412734541252945,3.7371613574129796,2.558013682526372,3.3939027577440015,34493.3819114943,0
4.646146205999994,4.638476135889871,3.337407077810848,4.474913428367252,51680.858448271465,0
